Resonance Peak Shift (nm),Concentration (uM),Dissociation Constant (uM^-1),,,,,
6.006006006,0.042919343,0.004,6.006006006,948.048048,0.042919343,0.011,954.0540541
5.205205205,0.051794747,0.004,5.205205205,949.5495495,0.051794747,0.011,954.7547548
4.404404404,0.062505519,0.004,4.404404404,950.8508509,0.062505519,0.011,955.2552553
3.703703704,0.075431201,0.004,3.703703704,952.0520521,0.075431201,0.011,955.7557558
3.203203203,0.091029818,0.004,3.203203203,952.952953,0.091029818,0.011,956.1561562
2.702702703,0.109854114,0.004,2.702702703,953.7537538,0.109854114,0.011,956.4564565
2.202202202,0.132571137,0.004,2.202202202,954.4544545,0.132571137,0.011,956.6566567
1.901901902,0.159985872,0.004,1.901901902,955.0550551,0.159985872,0.011,956.956957
1.601601602,0.193069773,0.004,1.601601602,955.5555556,0.193069773,0.011,957.1571572
1.301301301,0.232995181,0.004,1.301301301,955.955956,0.232995181,0.011,957.2572573
1.001001001,0.28117687,0.004,1.001001001,956.3563564,0.28117687,0.011,957.3573574
0.900900901,0.339322177,0.004,0.900900901,956.5565566,0.339322177,0.011,957.4574575
0.700700701,0.409491506,0.004,0.700700701,956.8568569,0.409491506,0.011,957.5575576
0.600600601,0.494171336,0.004,0.600600601,957.0570571,0.494171336,0.011,957.6576577
0.5005005,0.596362332,0.004,0.5005005,957.2572573,0.596362332,0.011,957.7577578
0.4004004,0.719685673,0.004,0.4004004,957.3573574,0.719685673,0.011,957.7577578
0.4004004,0.868511374,0.004,0.4004004,957.4574575,0.868511374,0.011,957.8578579
0.3003003,1.048113134,0.004,0.3003003,957.5575576,1.048113134,0.011,957.8578579
0.2002002,1.264855217,0.004,0.2002002,957.6576577,1.264855217,0.011,957.8578579
0.2002002,1.526417967,0.004,0.2002002,957.7577578,1.526417967,0.011,957.957958
0.2002002,1.842069969,0.004,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.004,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.004,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.004,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.004,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.004,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.004,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.004,0,957.957958,6.86648845,0.011,957.957958
0.1001001,8.286427729,0.004,0.1001001,957.957958,8.286427729,0.011,958.0580581
0.1001001,10,0.004,0.1001001,957.957958,10,0.011,958.0580581
6.206206206,0.001,0.005,6.206206206,901.2012012,0.001,0.011,907.4074074
7.007007007,0.001206793,0.005,7.007007007,902.4024024,0.001206793,0.011,909.4094094
8.008008008,0.001456348,0.005,8.008008008,903.7037037,0.001456348,0.011,911.7117117
8.908908909,0.001757511,0.005,8.908908909,905.3053053,0.001757511,0.011,914.2142142
9.90990991,0.002120951,0.005,9.90990991,907.007007,0.002120951,0.011,916.9169169
10.81081081,0.002559548,0.005,10.81081081,909.009009,0.002559548,0.011,919.8198198
11.51151151,0.003088844,0.005,11.51151151,911.3113113,0.003088844,0.011,922.8228228
12.11211211,0.003727594,0.005,12.11211211,913.7137137,0.003727594,0.011,925.8258258
12.51251251,0.004498433,0.005,12.51251251,916.4164164,0.004498433,0.011,928.9289289
12.71271271,0.005428675,0.005,12.71271271,919.2192192,0.005428675,0.011,931.9319319
12.71271271,0.006551286,0.005,12.71271271,922.2222222,0.006551286,0.011,934.9349349
12.41241241,0.007906043,0.005,12.41241241,925.2252252,0.007906043,0.011,937.6376376
11.91191191,0.009540955,0.005,11.91191191,928.3283283,0.009540955,0.011,940.2402402
11.31131131,0.011513954,0.005,11.31131131,931.3313313,0.011513954,0.011,942.6426426
10.41041041,0.013894955,0.005,10.41041041,934.3343343,0.013894955,0.011,944.7447447
9.50950951,0.016768329,0.005,9.50950951,937.1371371,0.016768329,0.011,946.6466466
8.608608609,0.020235896,0.005,8.608608609,939.7397397,0.020235896,0.011,948.3483483
7.707707708,0.024420531,0.005,7.707707708,942.1421421,0.024420531,0.011,949.8498498
6.806806807,0.029470517,0.005,6.806806807,944.3443443,0.029470517,0.011,951.1511512
5.905905906,0.035564803,0.005,5.905905906,946.3463463,0.035564803,0.011,952.2522523
5.105105105,0.042919343,0.005,5.105105105,948.048048,0.042919343,0.011,953.1531532
4.404404404,0.051794747,0.005,4.404404404,949.5495495,0.051794747,0.011,953.953954
3.703703704,0.062505519,0.005,3.703703704,950.8508509,0.062505519,0.011,954.5545546
3.103103103,0.075431201,0.005,3.103103103,952.0520521,0.075431201,0.011,955.1551552
2.702702703,0.091029818,0.005,2.702702703,952.952953,0.091029818,0.011,955.6556557
2.302302302,0.109854114,0.005,2.302302302,953.7537538,0.109854114,0.011,956.0560561
1.901901902,0.132571137,0.005,1.901901902,954.4544545,0.132571137,0.011,956.3563564
1.601601602,0.159985872,0.005,1.601601602,955.0550551,0.159985872,0.011,956.6566567
1.301301301,0.193069773,0.005,1.301301301,955.5555556,0.193069773,0.011,956.8568569
1.101101101,0.232995181,0.005,1.101101101,955.955956,0.232995181,0.011,957.0570571
0.900900901,0.28117687,0.005,0.900900901,956.3563564,0.28117687,0.011,957.2572573
0.800800801,0.339322177,0.005,0.800800801,956.5565566,0.339322177,0.011,957.3573574
0.600600601,0.409491506,0.005,0.600600601,956.8568569,0.409491506,0.011,957.4574575
0.5005005,0.494171336,0.005,0.5005005,957.0570571,0.494171336,0.011,957.5575576
0.4004004,0.596362332,0.005,0.4004004,957.2572573,0.596362332,0.011,957.6576577
0.4004004,0.719685673,0.005,0.4004004,957.3573574,0.719685673,0.011,957.7577578
0.3003003,0.868511374,0.005,0.3003003,957.4574575,0.868511374,0.011,957.7577578
0.3003003,1.048113134,0.005,0.3003003,957.5575576,1.048113134,0.011,957.8578579
0.2002002,1.264855217,0.005,0.2002002,957.6576577,1.264855217,0.011,957.8578579
