Angle (deg),Concentration (uM),Quality Factor
10,0.03556480306223128,947.3818233726072
10,0.04291934260128776,889.2670150639616
10,0.0517947467923121,840.931284234465
10,0.0625055192527397,800.7802045303695
10,0.07543120063354615,767.5832407627761
10,0.09102981779915217,740.0957540005758
10,0.10985411419875583,717.3737787353074
10,0.13257113655901082,698.6470296799371
10,0.15998587196060574,683.138309761093
10,0.19306977288832497,670.3193641591505
10,0.2329951810515372,659.728091245058
10,0.2811768697974228,650.9653018606823
10,0.3393221771895326,643.7662650426237
10,0.4094915062380423,637.7403320765726
10,0.49417133613238334,632.8196469106148
10,0.5963623316594643,628.7148586522717
10,0.7196856730011514,625.3166817628371
10,0.868511373751352,622.4960587207256
10,1.0481131341546852,620.1542262422689
10,1.2648552168552958,618.2245414648038
10,1.5264179671752318,616.6299800706515
10,1.8420699693267144,615.3158015016663
10,2.2229964825261934,614.2375141817098
10,2.6826957952797246,613.3057238531737
10,3.2374575428176433,612.563888748825
10,3.906939937054613,611.9686044334071
10,4.714866363457389,611.4437474762385
10,5.689866029018293,611.0100165589814
10,6.866488450042998,610.6383085748847
10,8.286427728546842,610.3749455892608
10,10.0,610.1149328412539
20,0.001,5266.877380984672
20,0.0012067926406393288,5101.857294911244
20,0.0014563484775012444,4910.850865378342
20,0.0017575106248547913,4699.655256009489
20,0.0021209508879201904,4463.482537978673
20,0.002559547922699536,4209.309318735879
20,0.0030888435964774815,3938.2530671971153
20,0.003727593720314938,3654.9141155109396
20,0.004498432668969444,3363.290534022336
20,0.005428675439323859,3072.7412111505796
20,0.006551285568595509,2788.371523430454
20,0.0079060432109077,2517.326713963777
20,0.009540954763499945,2264.932741263868
20,0.01151395399326447,2035.2652670055445
20,0.013894954943731374,1830.0523178953667
20,0.016768329368110076,1650.7183646452322
20,0.020235896477251564,1496.1830583516523
20,0.02442053094548651,1364.6355986234914
20,0.029470517025518096,1253.826047260105
20,0.03556480306223128,1161.271851455386
20,0.04291934260128776,1084.2965133314515
20,0.0517947467923121,1020.5780584030999
20,0.0625055192527397,967.815023897401
20,0.07543120063354615,924.3981252995566
20,0.09102981779915217,888.5924041827519
20,0.10985411419875583,859.0482585890633
20,0.13257113655901082,834.7340396889637
20,0.15998587196060574,814.6343359888247
20,0.19306977288832497,798.1082455207526
20,0.2329951810515372,784.4283103823046
20,0.2811768697974228,773.1920874001105
20,0.3393221771895326,763.841548756347
20,0.4094915062380423,756.129766397896
20,0.49417133613238334,749.7658157044795
20,0.5963623316594643,744.5152956473286
20,0.7196856730011514,740.1707246267158
20,0.868511373751352,736.576267541506
20,1.0481131341546852,733.5858130753809
20,1.2648552168552958,731.0724334588037
20,1.5264179671752318,729.0412008272326
