n_mip_polymer,Concentration (uM),Quality Factor
1.46,0.15998587196060574,547.8800070536989
1.46,0.19306977288832497,531.4206751523012
1.46,0.2329951810515372,517.6055816847546
1.46,0.2811768697974228,506.53988769405134
1.46,0.3393221771895326,497.94600126886934
1.46,0.4094915062380423,490.44896036783433
1.46,0.49417133613238334,484.4379995217509
1.46,0.5963623316594643,479.3486673163559
1.46,0.7196856730011514,475.0313389949881
1.46,0.868511373751352,471.62070006162156
1.46,1.0481131341546852,468.9414485494875
1.46,1.2648552168552958,466.87606099792595
1.46,1.5264179671752318,464.72486494866894
1.46,1.8420699693267144,463.25610270578443
1.46,2.2229964825261934,461.8958135587198
1.46,2.6826957952797246,460.76939736439334
1.46,3.2374575428176433,459.91286982654873
1.46,3.906939937054613,459.28718147372325
1.46,4.714866363457389,458.7954162978812
1.46,5.689866029018293,458.2889112682065
1.46,6.866488450042998,457.9723419278425
1.46,8.286427728546842,457.6213633051854
1.46,10.0,457.37678657938443
1.47,0.001,6959.959449470839
1.47,0.0012067926406393288,6715.470305409776
1.47,0.0014563484775012444,6509.536287419373
1.47,0.0017575106248547913,6186.425498599694
1.47,0.0021209508879201904,5806.485329587761
1.47,0.002559547922699536,5432.419624374828
1.47,0.0030888435964774815,5040.6666748109155
1.47,0.003727593720314938,4582.856690547059
1.47,0.004498432668969444,4139.0452556379105
1.47,0.005428675439323859,3680.879576733862
1.47,0.006551285568595509,3231.163347804471
1.47,0.0079060432109077,2815.7719000360335
1.47,0.009540954763499945,2436.703135944733
1.47,0.01151395399326447,2093.8697678499666
1.47,0.013894954943731374,1807.5990179627047
1.47,0.016768329368110076,1562.2704368786701
1.47,0.020235896477251564,1356.2785196389948
1.47,0.02442053094548651,1192.1800583124566
1.47,0.029470517025518096,1057.4129778761555
1.47,0.03556480306223128,947.9047860823667
1.47,0.04291934260128776,862.6320337379891
1.47,0.0517947467923121,792.1826712757925
1.47,0.0625055192527397,736.58086826441
1.47,0.07543120063354615,691.808796339573
1.47,0.09102981779915217,655.8495892596917
1.47,0.10985411419875583,626.4196045834399
1.47,0.13257113655901082,602.8092395956794
1.47,0.15998587196060574,583.277927039096
1.47,0.19306977288832497,567.7607291734256
1.47,0.2329951810515372,554.5854946526089
1.47,0.2811768697974228,544.2154085156538
1.47,0.3393221771895326,535.7168846036818
1.47,0.4094915062380423,528.6319200584094
1.47,0.49417133613238334,522.4827827846622
1.47,0.5963623316594643,517.8419677819129
1.47,0.7196856730011514,513.8423304140377
1.47,0.868511373751352,510.786337115141
1.47,1.0481131341546852,507.7121388654958
1.47,1.2648552168552958,505.8415270653558
1.47,1.5264179671752318,503.7817616388531
1.47,1.8420699693267144,502.3736526388202
1.47,2.2229964825261934,500.8890924974804
1.47,2.6826957952797246,499.9009958552227
1.47,3.2374575428176433,498.94449962911506
1.47,3.906939937054613,498.4110245960319
1.47,4.714866363457389,497.69404469155074
1.47,5.689866029018293,497.0640316270703
1.47,6.866488450042998,496.74172222875524
1.47,8.286427728546842,496.4507120287729
1.47,10.0,496.3419701505401
1.48,0.001,5192.510249677136
1.48,0.0012067926406393288,5030.472424828543
1.48,0.0014563484775012444,4799.310199421742
1.48,0.0017575106248547913,4606.518233502577
1.48,0.0021209508879201904,4334.23980124177
1.48,0.002559547922699536,4067.1438809202023
1.48,0.0030888435964774815,3791.844653546898
1.48,0.003727593720314938,3475.246506480681
1.48,0.004498432668969444,3174.1179960166264
1.48,0.005428675439323859,2869.8209509742805
1.48,0.006551285568595509,2560.777648460591
1.48,0.0079060432109077,2278.68847538795
1.48,0.009540954763499945,2014.0898409028273
1.48,0.01151395399326447,1778.3355839172605
1.48,0.013894954943731374,1571.4738446901129
1.48,0.016768329368110076,1392.740325690466
1.48,0.020235896477251564,1242.719570126155
1.48,0.02442053094548651,1115.0076651002805
1.48,0.029470517025518096,1011.3078018473169
1.48,0.03556480306223128,925.289745854296
1.48,0.04291934260128776,854.1116697864807
1.48,0.0517947467923121,796.5563817554765
1.48,0.0625055192527397,750.2954930627476
1.48,0.07543120063354615,711.1651128233289
1.48,0.09102981779915217,680.0426865768006
1.48,0.10985411419875583,654.5859856940853
1.48,0.13257113655901082,633.066706512894
1.48,0.15998587196060574,616.0863529256773
1.48,0.19306977288832497,601.8366698310144
1.48,0.2329951810515372,590.5596947629449
1.48,0.2811768697974228,581.0216246767027
1.48,0.3393221771895326,573.2712141758374
