Angle (deg),Concentration (uM),Figure of Merit (uM^-1)
10,0.25708602542448,5.039373949000075
10,0.3102495234934777,3.4461077944143597
10,0.37440684171378746,2.35638409111911
10,0.4518314211852128,1.6205506709399806
10,0.5452668338959238,1.1000647147811873
10,0.6580240023303079,0.7621015659290631
10,0.7940985233762516,0.5184022174753669
10,0.9583122539530187,0.3552928213253899
10,1.1564841755049904,0.24252791593730494
10,1.3956365920152638,0.1682270113144664
10,1.6842439682509731,0.11451859655364476
10,2.032533225926454,0.07948766409495683
10,2.452846138902959,0.05456546632908909
10,2.960076669048684,0.03704895626191159
10,3.572198739936128,0.02491206892673536
10,4.310903150256001,0.017446435058958973
10,5.202366196237842,0.011821475868471968
10,6.278177239530645,0.008703142870501944
10,7.5764580892949205,0.00540526604974489
10,9.14321386427342,0.004103578855946608
20,0.0011033963203196644,36589.38043391214
20,0.0013315705590702866,33840.271256319575
20,0.0016069295511780177,30962.399416848155
20,0.001939230756387491,27888.441231419518
20,0.002340249405309863,24621.213034842247
20,0.0028241957595885087,21289.640156511967
20,0.0034082186583962097,18003.904967249087
20,0.004113013194642191,14903.157649686853
20,0.004963554054146652,12032.69606554798
20,0.005989980503959684,9479.53389315006
20,0.007228664389751605,7282.4178225021005
20,0.008723498987203822,5464.453690002417
20,0.010527454378382206,4011.196052980394
20,0.012704454468497921,2884.744419921824
20,0.015331642155920724,2042.4634139807254
20,0.018502112922680822,1424.5849697247465
20,0.02232821371136904,983.2851620439823
20,0.026945523985502304,672.5866662203501
20,0.032517660043874685,458.189595354906
20,0.039242072831759525,311.15278066307553
20,0.04735704469679993,210.7330383186734
20,0.057150133022525904,142.55974993860414
20,0.06896835994314293,96.55474411823536
20,0.08323050921634917,65.38573795822413
20,0.100441965998954,44.368792967484325
20,0.12121262537888333,30.137247246102156
20,0.14627850425980826,20.469033842356502
20,0.17652782242446535,13.933544421161095
20,0.21303247696993108,9.514306285527356
20,0.25708602542448,6.486707358704318
20,0.3102495234934777,4.418720395797246
20,0.37440684171378746,3.0337549690682746
20,0.4518314211852128,2.0650734185420085
20,0.5452668338959238,1.4184241799206507
20,0.6580240023303079,0.9700165121973
20,0.7940985233762516,0.6625692906685637
20,0.9583122539530187,0.4553443902512625
20,1.1564841755049904,0.3114818571702541
20,1.3956365920152638,0.21299970517978717
20,1.6842439682509731,0.14669762351019539
20,2.032533225926454,0.1010735929305901
20,2.452846138902959,0.06854424422332092
20,2.960076669048684,0.048407682479382035
20,3.572198739936128,0.032055222158081535
20,4.310903150256001,0.022747757307167306
20,5.202366196237842,0.014911557434087367
20,6.278177239530645,0.010396812511705579
20,7.5764580892949205,0.007532265784735633
