Angle (deg),Sensitivity (nm/uM),Concentration (uM)
10,5007.750613075469,0.001939230756387491
10,4680.881007866569,0.002340249405309863
10,4326.547549281023,0.0028241957595885087
10,3945.2441670184035,0.0034082186583962097
10,3541.631238325825,0.004113013194642191
10,3130.396938405389,0.004963554054146652
10,2716.909834301797,0.005989980503959684
10,2315.566469113747,0.007228664389751605
10,1934.068919693357,0.008723498987203822
10,1584.9125651639617,0.010527454378382206
10,1273.4267576452407,0.012704454468497921
10,1003.7079803520397,0.015331642155920724
10,777.4981349782968,0.018502112922680822
10,592.1723388406239,0.02232821371136904
10,444.1640817770871,0.026945523985502304
10,328.9999908310655,0.032517660043874685
10,240.67009100669364,0.039242072831759525
10,174.30366402007067,0.04735704469679993
10,125.20230591105037,0.057150133022525904
10,89.12578657755655,0.06896835994314293
10,63.211363522186055,0.08323050921634917
10,44.51738127654272,0.100441965998954
10,31.210388352277985,0.12121262537888333
10,21.81330482675561,0.14627850425980826
10,15.20392142236354,0.17652782242446535
10,10.569816050897144,0.21303247696993108
10,7.326508041198757,0.25708602542448
10,5.073547002515551,0.3102495234934777
10,3.5058402775162465,0.37440684171378746
10,2.4327169796830663,0.4518314211852128
10,1.6635682932743858,0.5452668338959238
10,1.1595649976595193,0.6580240023303079
10,0.7928817362657645,0.7940985233762516
10,0.5456571237929243,0.9583122539530187
10,0.3737198101951015,1.1564841755049904
10,0.259978456120374,1.3956365920152638
10,0.17741233898058814,1.6842439682509731
10,0.12338461192935071,2.032533225926454
10,0.08483891300644839,2.452846138902959
10,0.05768299661119218,2.960076669048684
10,0.038836361084865594,3.572198739936128
10,0.027230474562174176,4.310903150256001
10,0.01846172941137191,5.202366196237842
10,0.013598381023228537,6.278177239530645
10,0.008451150118147023,7.5764580892949205
10,0.0064194024286756786,9.14321386427342
20,6247.867023385137,0.0011033963203196644
20,5998.717517386959,0.0013315705590702866
20,5717.907231384465,0.0016069295511780177
20,5403.96824399993,0.001939230756387491
20,5052.524263727679,0.002340249405309863
20,4668.5148446608255,0.0028241957595885087
20,4255.227637284218,0.0034082186583962097
20,3823.1455162438997,0.004113013194642191
20,3378.7216955384933,0.004963554054146652
20,2932.481040826799,0.005989980503959684
20,2497.888725368445,0.007228664389751605
20,2086.3722596691755,0.008723498987203822
20,1709.5970842015238,0.010527454378382206
20,1372.5457269078515,0.012704454468497921
20,1081.6658817386074,0.015331642155920724
20,837.1947647781986,0.018502112922680822
20,637.5769975894913,0.02232821371136904
20,477.8278775426483,0.026945523985502304
20,353.6134564792619,0.032517660043874685
20,258.6183689800682,0.039242072831759525
20,187.14827791684382,0.04735704469679993
20,134.2586994034899,0.057150133022525904
20,95.70190798301378,0.06896835994314293
20,67.69898567893932,0.08323050921634917
20,47.70478327724939,0.100441965998954
20,33.45542333953667,0.12121262537888333
20,23.345342958397445,0.14627850425980826
20,16.261848360302647,0.17652782242446535
20,11.321224774896,0.21303247696993108
20,7.845382548367165,0.25708602542448
20,5.41751629081894,0.3102495234934777
20,3.76236517587224,0.37440684171378746
20,2.5862379541287464,0.4518314211852128
20,1.7907823392304072,0.5452668338959238
20,1.2325446128976374,0.6580240023303079
20,0.8466364302497805,0.7940985233762516
20,0.5846326326351856,0.9583122539530187
20,0.4014027590978401,1.1564841755049904
20,0.2752713064808051,1.3956365920152638
20,0.19008464890774726,1.6842439682509731
20,0.13126022545673702,2.032533225926454
20,0.08918962649395856,2.452846138902959
20,0.06309077754347223,2.960076669048684
